"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"SimCSE for Encrypted Traffic Detection and Zero-Day Attack Detection","R. Bar; C. Hajaj","School of Software Engineering: Intelligent Systems, Afeka College of Engineering, Tel Aviv, Israel; Industrial Engineering and Management Department, Data Science and Artificial Intelligence Research Center, Ariel University, Ariel, Israel","IEEE Access","7 Jun 2022","2022","10","","56952","56960","Traffic detection has attracted much attention in recent years, playing an essential role in intrusion detection systems (IDS). This paper proposes a new approach for traffic detection at the packet level, inspired by natural language processing (NLP), using simple contrastive learning of sentence embeddings (SimCSE) as an embedding model. The new approach can learn the features of traffic from raw packet data. Experiments were conducted on two well-known datasets to evaluate our approach. For detecting malicious activity, our model achieved an accuracy of 99.99% on the USTC-TFC2016 dataset, whereas for detecting virtual private network (VPN) activity, our model achieved an accuracy of 99.98% on the ISCXVPN2016 dataset. Furthermore, the resulting model was found to be robust based on zero-day attack detection, which shows the model’s ability to detect attacks that have not been seen before. Experiments show that our approach can effectively detect network traffic and outperforms many other state-of-the-art methods.","2169-3536","","10.1109/ACCESS.2022.3177272","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9780135","Network traffic;SimCSE;packet capture;Word2vec;cyber security","Feature extraction;Convolutional neural networks;Virtual private networks;Telecommunication traffic;Neural networks;Integrated circuits;Deep learning","computer network security;cryptography;natural language processing;telecommunication traffic;virtual private networks","intrusion detection systems;packet level;natural language processing;simple contrastive learning;sentence embeddings;SimCSE;embedding model;raw packet data;USTC-TFC2016 dataset;virtual private network activity;ISCXVPN2016 dataset;zero-day attack detection;network traffic;encrypted traffic detection","","","","32","CCBYNCND","23 May 2022","","","IEEE","IEEE Journals"
"RTS: A Robust and Trusted Scheme for IoT-Based Mobile Wireless Mesh Networks","K. Haseeb; I. Ud Din; A. Almogren; N. Islam; A. Altameem","Department of Computer Science, Islamia College Peshawar, Peshawar, Pakistan; Department of Information Technology, The University of Haripur, Haripur, Pakistan; Department of Computer Science, College of Computer and Information Sciences, Chair of Cyber Security, King Saud University, Riyadh, Saudi Arabia; Department of Computer Science, Islamia College Peshawar, Peshawar, Pakistan; Department of Natural and Engineering Sciences, College of Applied Studies and Community Services, King Saud University, Riyadh, Saudi Arabia","IEEE Access","20 Apr 2020","2020","8","","68379","68390","Wireless mesh networks consist of various mesh clients that are organized in an unfixed infrastructure and packets are forwarded using a multi-hop model. Routing protocols have a significant impact on mesh networks because their performance has a crucial effect on nodes connectivity and throughput. Recently, the integration of mesh clients with the Internet of Things (IoT) has gained significant importance to connect billions of machines and achieve fast coverage with minimum network cost. However, if mesh clients are mobile, then data routing via intermediate nodes gives a noteworthy effect on the network performance and latency. Furthermore, over the Internet, a malicious node may be a part of the mesh network and as a result, the sending information can be manipulated and compromised. Therefore, this research article aims to propose a robust and trusted scheme (RTS) for IoT-based mobile mesh networks to provide reliable routing, data confidentiality, and integrity. Firstly, the proposed scheme presents a robust data routing among mobile mesh clients, routers and gateway devices based on the network parameters and measurement of wireless channels. Moreover, the wireless channels between mesh devices are formulated based on the efficacy of link costs for data dissemination. Besides, the location of mobile mesh clients is determined by computing the distance vector at a regular time interval. Secondly, a secure and authentic data protection technique is proposed using public-private key cryptography, which aims to increase the protection of mesh clients with minimal overhead. The competence of the proposed scheme is significantly improved with respect to network throughput by an average of 14%, packet loss rate by an average of 37%, latency rate by an average of 12%, computational overhead by an average of 34%, and energy efficiency by an average of 20% as compared to other works.","2169-3536","","10.1109/ACCESS.2020.2985851","Deanship of Scientific Research, King Saud University, through the Vice Deanship of Scientific Research Chairs; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9057558","Wireless mesh network;the Internet of Things;data security;gateways;routing protocol","Routing;Wireless mesh networks;Ad hoc networks;Communication system security;Wireless communication;Security;Reliability","computer network reliability;cryptographic protocols;Internet of Things;internetworking;mobile radio;network servers;private key cryptography;public key cryptography;routing protocols;wireless channels;wireless mesh networks","IoT-based mobile wireless mesh networks;minimum network cost;robust data routing;wireless channels;multihop model;routing protocols;Internet of Things;robust and trusted scheme;RTS scheme;data confidentiality;gateway devices;data dissemination;authentic data protection technique;public-private key cryptography;energy efficiency","","13","","58","CCBY","6 Apr 2020","","","IEEE","IEEE Journals"
"Rogue Base Stations Detection for Advanced Metering Infrastructure Based on Signal Strength Clustering","Q. Bin; C. Ziwen; X. Yong; H. Liang; S. Sheng","China Southern Power Grid, Electric Power Research Institute, Guangzhou, China; China Southern Power Grid, Electric Power Research Institute, Guangzhou, China; China Southern Power Grid, Electric Power Research Institute, Guangzhou, China; College of Electrical and Information Engineering, Changsha University of Science and Technology, Changsha, China; College of Electrical and Information Engineering, Changsha University of Science and Technology, Changsha, China","IEEE Access","9 Sep 2020","2020","8","","158798","158805","The smart meters and meter collectors in Advanced Metering Infrastructure (AMI), which are installed in every home, rely on wireless Virtual Private Network (VPN) for communicating with Head End System (HES). Therefore, they are prone to suffer from malicious cyber-attack. Usually, based on General Packet Radio Service (GPRS) communicated method is the most popular for meter collectors and consequently they are vulnerable to rogue Base Stations (BS) and get compromised by malicious adversaries further. Thus a Density-based spatial clustering of applications with noise (DBSCAN) method is employed to filter rogue BSs out and prevent meter collectors from attaching to them, because there is a notable difference between Signal Strength (SS) profile of legitimate BSs and rogue BSs, Numerical simulation indicates that the proposed approach is capable of detecting both stationary and moving rogue BSs online within fixed time window effectively. Moreover, the method can be implemented in existing meter collectors with limited computation resource. In conclusion, the proposed approach can enhance the level of cyber security of meter collectors.","2169-3536","","10.1109/ACCESS.2019.2934222","Electric Power Research Institute of China Southern Power Grid(grant numbers:ZNKJXM20170085); National Natural Scientific Foundation of China(grant numbers:51777015,U196620027); National Basic Research Program of China (973 Program)(grant numbers:2018YFB0904903); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8793153","Rogue base station;cyber-attack;clustering analysis;advanced metering infrastructure","Meters;Ground penetrating radar;Authentication;Long Term Evolution;Smart meters;Virtual private networks;3G mobile communication","computer network security;computerised instrumentation;packet radio networks;power engineering computing;smart meters;smart power grids;virtual private networks","rogue base station detection;Advanced Metering Infrastructure;Signal Strength;smart meters;meter collectors;General Packet Radio Service communicated method;stationary moving rogue BS;GPRS communicated method;density based spatial clustering of applications with noise;DBSCAN method;cyber security;AMI;wireless virtual private network;VPN;head end system;HES;malicious cyber attack","","1","","28","CCBY","9 Aug 2019","","","IEEE","IEEE Journals"
"Security Verification for Cyber-Physical Systems Using Model Checking","C. -C. Chan; C. -Z. Yang; C. -F. Fan","Department of Computer Science and Engineering, Yuan-Ze University, Taoyuan, Taiwan; Department of Computer Science and Engineering, Yuan-Ze University, Taoyuan, Taiwan; Department of Computer Science and Engineering, Yuan-Ze University, Taoyuan, Taiwan","IEEE Access","25 May 2021","2021","9","","75169","75186","A malicious attack may endanger human life or pollute environment on a cyber-physical system (CPS). However, successfully attacking a CPS needs not only the knowledge of information technology (IT) but also the domain knowledge of the system's operation technology (OT). Therefore, it is critical to identify the vulnerabilities of a CPS. This paper proposes a systematic method for the security verification of a CPS, focusing on OT by using model checking with UPPAAL, so as to enhance cyber security. In our security analysis, we considered unsafe situations to be the result of a potentially effective security attack. Thus, we suggested a systematic method to generate security constraints based on the safety constraints (or safety checks) of the CPS and then enhance these security constraints by security verification using model checking with UPPAAL. UPPAAL's simulation tool can perform a detailed search for each state in various possible model combinations and can explore human-computer interactions more deeply. The contributions of our method are as follows: First, a systematic method is proposed to generate security constraints based on the overall safety requirements at the OT level. Second, the security constraints thus generated can be used for run-time monitoring to identify the possible security attacks when they are violated. Third, this paper proposes to augment normal system modeling with a suggested Attack Module to simulate the potential OT attacks. Finally, the verification results may be used in the following twofold directions: to identify the vulnerabilities for possible design improvements and to suggest the further additions of security constraints.","2169-3536","","10.1109/ACCESS.2021.3081587","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9434411","Cyber-physical systems;model checking;operation technology;security constraint;security verification;UPPAAL","Security;Tools;Model checking;Systematics;Monitoring;Cyber-physical systems;Computer crashes","formal verification;security of data","cyber security;cyber-physical system;OT attacks;normal system modeling;security attacks;model checking;security verification;CPS;security constraints;security analysis","","","","38","CCBYNCND","18 May 2021","","","IEEE","IEEE Journals"
"Process Memory Investigation of the Bitcoin Clients Electrum and Bitcoin Core","L. Van Der Horst; K. R. Choo; N. Le-Khac","Dutch National Police, Driebergen, AA, The Netherlands; Department of Information Systems and Cyber Security, University of Texas at San Antonio, San Antonio, TX, USA; School of Computer Science, University College Dublin, Dublin 4, Ireland","IEEE Access","9 Nov 2017","2017","5","","22385","22398","Bitcoin cryptocurrency is reportedly one widely used digital currency in criminal activities (e.g. used for online purchases of illicit drugs and paying of ransom in ransomware cases). However, there has been limited forensic research of bitcoin clients in the literature. In this paper, the process memory of two popular bitcoin clients, bitcoin Core and electrum, is examined with the aims of identifying potential sources and types of potential relevant data (e.g. bitcoin keys, transaction data and passphrases). Artefacts obtained from the process memory are also studied with other artefacts obtained from the client device (application files on disk and memory-mapped files and registry keys). Findings from this study suggest that both bitcoin Core and electrum's process memory is a valuable source of evidence, and many of the artefacts found in process memory are also available from the application and wallet files on the client device (disk).","2169-3536","","10.1109/ACCESS.2017.2759766","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8058429","Digital forensics;bitcoin forensics;electrum forensics;bitcoin core;bitcoin client;cryptocurrency forensics;memory forensics","Bitcoin;Forensics;Public key;Software;Protocols","cryptography;electronic money;financial data processing","client device;process memory investigation;bitcoin clients electrum;bitcoin core;bitcoin cryptocurrency;criminal activities;bitcoin keys;wallet files;digital currency","","26","","24","OAPA","5 Oct 2017","","","IEEE","IEEE Journals"
"CDBFIP: Common Database Forensic Investigation Processes for Internet of Things","A. Al-Dhaqm; S. Razak; S. H. Othman; K. R. Choo; W. B. Glisson; A. Ali; M. Abrar","Department of Computer Science, Faculty of Computing, Universiti Teknologi Malaysia, Johor, Malaysia; Department of Computer Science, Faculty of Computing, Universiti Teknologi Malaysia, Johor, Malaysia; Department of Computer Science, Faculty of Computing, Universiti Teknologi Malaysia, Johor, Malaysia; Department of Information Systems and Cyber Security, The University of Texas at San Antonio, San Antonio, TX, USA; School of Computing, University of South Alabama, Mobile, AL, USA; Department of Computer Science, Faculty of Computing, Universiti Teknologi Malaysia, Johor, Malaysia; Department of Computer Science, Faculty of Computing, Universiti Teknologi Malaysia, Johor, Malaysia","IEEE Access","22 Nov 2017","2017","5","","24401","24416","Database forensics is a domain that uses database content and metadata to reveal malicious activities on database systems in an Internet of Things environment. Although the concept of database forensics has been around for a while, the investigation of cybercrime activities and cyber breaches in an Internet of Things environment would benefit from the development of a common investigative standard that unifies the knowledge in the domain. Therefore, this paper proposes common database forensic investigation processes using a design science research approach. The proposed process comprises four phases, namely: 1) identification; 2) artefact collection; 3) artefact analysis; and 4) the documentation and presentation process. It allows the reconciliation of the concepts and terminologies of all common database forensic investigation processes; hence, it facilitates the sharing of knowledge on database forensic investigation among domain newcomers, users, and practitioners.","2169-3536","","10.1109/ACCESS.2017.2762693","Universiti Teknologi Malaysia; MOHE through FRGS(grant numbers:R.J130000.7813.4F193); Universiti Teknologi Malaysia (GUP)(grant numbers:Q.J130000.2513.18H31); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8067454","Forensics;database forensics;Internet of Things forensics","Databases;Forensics;Servers;Internet of Things;Terminology;Structured Query Language;Metadata","computer crime;database management systems;digital forensics;meta data","metadata;database systems;common investigative standard;common database forensic investigation processes;database content;Internet of Things environment;CDBFIP;cybercrime activities;cyber breaches;design science research approach;domain newcomers","","19","","86","OAPA","13 Oct 2017","","","IEEE","IEEE Journals"
"Mixture Localization-Based Outliers Models for securing Data Migration in Cloud Centers","O. AlKadi; N. Moustafa; B. Turnbull; K. -K. R. Choo","School of Engineering and Information Technology, University of New South Wales at ADFA, Canberra, ACT, Australia; School of Engineering and Information Technology, University of New South Wales at ADFA, Canberra, ACT, Australia; School of Engineering and Information Technology, University of New South Wales at ADFA, Canberra, ACT, Australia; Department of Information Systems and Cyber Security, The University of Texas at San Antonio, San Antonio, TX, USA","IEEE Access","26 Aug 2019","2019","7","","114607","114618","The cloud computing paradigm is changing how businesses operate, providing greater efficiency, tolerance, elasticity and flexibility in computing workloads. Underpinning these changes are multiple data centers, operated by different entities and distributed globally. Despite these benefits, cloud computing presents new classes of cyber-attack, opportunities to attack and processes to subvert. One of the primary strategies to defend against cyber-attacks is the migration process. A secure Virtual Machine (VM) migration is essential to safeguard cloud data centers against insider and outsider attacks. In this paper, we propose a collaborative anomaly detection system for discovering insider and outsider attacks from cloud systems and their migration process. The proposed system is named Mixture Localization-based Outliers (MLO) and utilizes Gaussian-mixture models for fitting network data and a local outlier factor function for discovering abnormal patterns in network traffic data. In order to validate the effectiveness of the models, the datasets of UNSW-NB15 and BoT-IoT are employed. The experimental results have revealed the high performance of the proposed system compared with several peer anomaly detection techniques.","2169-3536","","10.1109/ACCESS.2019.2935142","UNSW Canberra Grant(grant numbers:PS51536,PS51776); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8796376","Cloud computing;virtualization;anomaly detection;virtual migration;data centers","Cloud computing;Security;Data models;Data centers;Anomaly detection;Collaboration;Virtualization","cloud computing;computer centres;Gaussian processes;mixture models;security of data;virtual machines","data migration;cloud centers;cloud computing paradigm;elasticity;flexibility;computing workloads;multiple data centers;cyber-attack;primary strategies;migration process;cloud data centers;outsider attacks;collaborative anomaly detection system;cloud systems;Gaussian-mixture models;network data;local outlier factor function;network traffic data;peer anomaly detection techniques;mixture localization-based outliers models;secure virtual machine migration","","10","","40","CCBY","13 Aug 2019","","","IEEE","IEEE Journals"
"An Automated Live Forensic and Postmortem Analysis Tool for Bitcoin on Windows Systems","S. Zollner; K. R. Choo; N. Le-Khac","Bavarian Police Institute for Further Education, Training Institute of the Bavarian Police, Ainring, Germany; Department of Information Systems and Cyber Security, University of Texas at San Antonio, San Antonio, TX, USA; School of Computer Science, University College Dublin, Dublin 4, Ireland","IEEE Access","7 Nov 2019","2019","7","","158250","158263","Bitcoin is popular not only with consumers, but also with cybercriminals (e.g., in ransomware and online extortion, and commercial online child exploitation). Given the potential of Bitcoin to be involved in a criminal investigation, the need to have an up-to-date and in-depth understanding on the forensic acquisition and analysis of Bitcoins is crucial. However, there has been limited forensic research of Bitcoin in the literature. The general focus of existing research is on postmortem analysis of specific locations (e.g. wallets on mobile devices), rather than a forensic approach that combines live data forensics and postmortem analysis to facilitate the identification, acquisition, and analysis of forensic traces relating to the use of Bitcoins on a system. Hence, the latter is the focus of this paper where we present an open source tool for live forensic and postmortem analysing automatically. Using this open source tool, we describe a list of target artifacts that can be obtained from a forensic investigation of popular Bitcoin clients and Web Wallets on different web browsers installed on Windows 7 and Windows 10 platforms.","2169-3536","","10.1109/ACCESS.2019.2948774","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8878085","Bitcoin forensics;bitcoin web wallet;cryptocurrency forensics;automated forensic process;digital forensics","Bitcoin;Forensics;Microsoft Windows;Public key;Cryptographic hash function;Browsers","computer crime;cryptocurrencies;digital forensics;Internet;Microsoft Windows (operating systems);online front-ends;public domain software","automated live forensic;postmortem analysis;Windows systems;forensic acquisition;forensic research;live data forensics;forensic traces;open source tool;Bitcoin clients;Web Wallets","","10","","14","CCBY","21 Oct 2019","","","IEEE","IEEE Journals"
"IoT-Enabled Smart Energy Grid: Applications and Challenges","S. M. A. A. Abir; A. Anwar; J. Choi; A. S. M. Kayes","IGW Operators Forum, Dhaka, Bangladesh; Centre for Cyber Security Research and Innovation (CSRI), School of Information Technology, Deakin University, Geelong, VIC, Australia; School of Information Technology, Deakin University, Geelong, VIC, Australia; Department of Computer Science and Information Technology, La Trobe University, Melbourne, VIC, Australia","IEEE Access","7 Apr 2021","2021","9","","50961","50981","The Internet of Things (IoT) is a rapidly emerging field of technologies that delivers numerous cutting-edge solutions in various domains including the critical infrastructures. Thanks to the IoT, the conventional power system network can be transformed into an effective and smarter energy grid. In this article, we review the architecture and functionalities of IoT-enabled smart energy grid systems. Specifically, we focus on different IoT technologies including sensing, communication, computing technologies, and their standards in relation to smart energy grid. This article also presents a comprehensive overview of existing studies on IoT applications to the smart grid system. Based on recent surveys and literature, we observe that the security vulnerabilities related to IoT technologies have been attributed as one of the major concerns of IoT-enabled energy systems. Therefore, we review the existing threat and attack models for IoT-enabled energy systems and summarize mitigation techniques for those security vulnerabilities. Finally, we highlight how advanced technologies (e.g., blockchain, machine learning, and artificial intelligence) can complement IoT-enabled energy systems to be more resilient and secure and overcome the existing difficulties so that they become more effective, robust, and reliable in operation. Precisely, this article will help understand the framework for IoT-enabled smart energy system, associated security vulnerabilities, and prospects of advanced technologies to improve the effectiveness of smart energy systems.","2169-3536","","10.1109/ACCESS.2021.3067331","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9381850","Cybersecurity;IoT;smart grid;smart meter","Smart grids;Internet of Things;Security;Sensors;Reliability;Power system reliability;Machine learning","Internet of Things;power engineering computing;security of data;smart power grids","IoT-enabled smart energy system;conventional power system network;IoT-enabled smart energy grid systems;IoT technologies;IoT applications;Internet of Things;security vulnerabilities;threat models;attack models;mitigation techniques","","7","","81","CCBY","19 Mar 2021","","","IEEE","IEEE Journals"
"Towards Energy Efficient Smart Grids Using Bio-Inspired Scheduling Techniques","Z. Amjad; M. A. Shah; C. Maple; H. A. Khattak; Z. Ameer; M. N. Asghar; S. Mussadiq","Department of Computer Science, COMSATS University Islamabad, Islamabad, Pakistan; Department of Computer Science, COMSATS University Islamabad, Islamabad, Pakistan; WMG Cyber Security Centre, University of Warwick, Coventry, U.K; Department of Computer Science, COMSATS University Islamabad, Islamabad, Pakistan; Department of Physics, Shaheed Benazir Bhutto Women University, Peshawar, Pakistan; Department of Computer Science, Bahauddin Zakariya University, Multan, Pakistan; Institute of Information Technology, Kohat University of Science and Technology, Kohat, Pakistan","IEEE Access","9 Sep 2020","2020","8","","158947","158960","Electric power grids are lagging in flexibility and time-response. A smart grid is an improved version of electrical grids that leverages Internet of Things (IoT) based devices to improve the overall infrastructure from the grid stations to intelligent appliances. It provides better understanding of supply and demand and overall flow of data depending based upon the requirements. Modern approach towards Smart grid envisions to provide electricity consumers with the opportunity to manage their respective power usage. Population increase has played a major role in the adoption of smart grid as a lot of electrical energy is consumed in the residential sector and a lot of architectures have been proposed for better flow of information from the smart meter to connectors and devices for improved customer participation. Customer needs have been very important in the smart grid. However, the customers have never been provided with the ease of choosing their own kind of benefits from the smart grid. In this work, we propose an enhanced architecture working effectively for multiple users based on their requirements. The users would be able to choose their type of scheduling techniques based on their requirements. These requirements may include cost reduction and increasing user comfort for better consumption of electricity and reliable systems. These requirements can be achieved using different Bio inspired computing based scheduling algorithms. Furthermore, in this work, we provide a comparison of these bio inspired scheduling techniques, i.e., Enhanced Differential Evolution, Bacterial Foraging Algorithm and Grey Wolf Optimization integrated in smart grid architecture for providing better consumption of electricity and achieving reliable systems. These algorithms mainly aim to schedule load, minimize electricity bills and maximize the user comfort depending on user demand.","2169-3536","","10.1109/ACCESS.2020.3020027","The Alan Turing Institute under Engineering and Physical Sciences Research Council (EPSRC)(grant numbers:EP/N510129/1); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9178810","Smart grids;smart cities;smart grid architecture;heuristic techniques;scheduling algorithms;energy efficiency","Smart grids;Computer architecture;Reliability;Electronic mail;Scheduling;Bidirectional control;Pricing","cost reduction;demand side management;energy conservation;evolutionary computation;Internet of Things;power engineering computing;scheduling;smart power grids","electric power grids;electrical grids;Internet of Things based devices;grid stations;electricity consumers;electrical energy;smart meter;computing based scheduling algorithms;smart grid architecture;energy efficient smart grids;bioinspired scheduling techniques;cost reduction;computing consumption;enhanced differential evolution;bacterial foraging algorithm;grey wolf optimization","","6","","50","CCBY","27 Aug 2020","","","IEEE","IEEE Journals"
"An Efficient Access Control Scheme With Outsourcing and Attribute Revocation for Fog-Enabled E-Health","J. Zhao; P. Zeng; K. -K. R. Choo","Shanghai Key Laboratory of Trustworthy Computing, East China Normal University, Shanghai, China; Shanghai Key Laboratory of Trustworthy Computing, East China Normal University, Shanghai, China; Department of Information Systems and Cyber Security, The University of Texas at San Antonio, San Antonio, TX, USA","IEEE Access","25 Jan 2021","2021","9","","13789","13799","Fog computing is increasingly popular partly due to its capability to minimize data transfer and latency requirements, for example by moving some of the computational operations away from the cloud servers and closer to the users. To achieve fine-grained access control in fog-enabled application scenarios to guarantee data security and user privacy, one could use ciphertext-policy attribute-based encryption (CP-ABE). However, the lack of an effective mechanism to carry out access right revocation in conventional CP-ABE schemes limits the deployment of such schemes in practice. Thus, we propose an efficient CP-ABE scheme with attribute revocation capability, designed to construct a fine-grained access control system in fog-enabled E-health (referred to as AC-FEH). In our AC-FEH system, fog nodes undertake data encryption and decryption operations; thus, computational costs for data owners and users are minimized. In comparison to several other competing access control schemes based on CP-ABE, our AC-FEH system reduces the computational costs associated with encryption and decryption. We also prove the selective security of the underlying CP-ABE scheme under the intractability assumption of the $q$ -parallel BDHE problem.","2169-3536","","10.1109/ACCESS.2021.3052247","National Natural Science Foundation of China (NSFC)(grant numbers:62072184,61601129); National Key Research and Development Program of China(grant numbers:2017YFB0802302); NSFC-Zhejiang Joint Fund for the Integration of Industrialization and Informatization(grant numbers:U1509219); Key Laboratory of Information Network Security of Ministry of Public Security (The Third Research Institute of Ministry of Public Security)(grant numbers:C18603); Shanghai Natural Science Foundation(grant numbers:17ZR1408400); Cloud Technology Endowed Professorship; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9328126","Fog computing;access control;CP-ABE;outsourcing;attribute revocation;large universe","Access control;Cloud computing;Security;Encryption;Outsourcing;Edge computing;Servers","authorisation;cloud computing;cryptography;data privacy;medical information systems;outsourcing","data encryption;decryption operations;computational costs;data owners;competing access control schemes;AC-FEH system;underlying CP-ABE scheme;efficient access control scheme;fog-enabled E-health;fog computing;data transfer;latency requirements;computational operations;cloud servers;fog-enabled application scenarios;data security;user privacy;ciphertext-policy attribute-based encryption;access right revocation;attribute revocation capability;fine-grained access control system;fog nodes","","5","","45","CCBY","18 Jan 2021","","","IEEE","IEEE Journals"
"Energy-Efficient IoT Sensor Calibration With Deep Reinforcement Learning","A. Ashiquzzaman; H. Lee; T. -W. Um; J. Kim","School of Electronics and Computer Engineering, Chonnam National University, Gwangju, South Korea; Human IT Convergence Research Center, Korea Electronics Technology Institute, Seoul, South Korea; Department of Cyber Security, College of Science and Technology, Duksung Women’s University, Seoul, South Korea; School of Electronics and Computer Engineering, Chonnam National University, Gwangju, South Korea","IEEE Access","2 Jun 2020","2020","8","","97045","97055","The modern development of ultra-durable and energy-efficient IoT based communication sensors has much application in modern telecommunication and networking sectors. Sensor calibration to reduce power usage is beneficial to minimizing energy consumption in sensors as well as improve the efficiency of devices. Reinforcement learning (RL) has been received much attention from researchers and now widely applied in many study fields to achieve intelligent automation. Though various types of sensors have been widely used in the field of IoT, rare researches were conducted in resource optimizing. In this novel research, a new style of power conservation has been explored with the help of RL to make a new generation of IoT devices with calibrated power sources to maximize resource utilization. A closed grid multiple power source based control for sensor resource utilization has been introduced. Our proposed model using Deep Q learning (DQN) enables IoT sensors to maximize its resource utilization. This research focuses solely on the energy-efficient sensor calibration and simulation results show promising performance of the proposed method.","2169-3536","","10.1109/ACCESS.2020.2992853","National Research Foundation of Korea (NRF) grant funded by the Korean Government (MSIT)(grant numbers:2018R1A2B2003774); Information Technology Research Center (ITRC); IITP (Institute for Information & Communications Technology Planning & Evaluation)(grant numbers:IITP-2020-2016-0-00314); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9087857","Algorithm design and analysis;optimization;computational and artificial intelligence;battery management systems;simulation;electronic design automation and methodology;deeplearning;reinforcement learning","Deep learning;Reinforcement learning;Resource management;Neural networks;Machine learning algorithms;Calibration","energy conservation;Internet of Things;learning (artificial intelligence);optimisation;telecommunication computing;telecommunication power management;wireless sensor networks","RL;IoT devices;calibrated power sources;closed grid multiple power source;sensor resource utilization;deep Q learning;IoT sensors;energy-efficient sensor calibration;energy-efficient IoT sensor calibration;modern development;communication sensors;modern telecommunication;networking sectors;power usage;energy consumption;study fields;rare researches;resource optimizing;power conservation;deep reinforcement learning","","4","","36","CCBY","6 May 2020","","","IEEE","IEEE Journals"
"Hierarchical Adversarial Network for Human Pose Estimation","I. Radwan; N. Moustafa; B. Keating; K. -K. R. Choo; R. Goecke","Research School of Management, The Australian National University, Canberra, ACT, Australia; School of Engineering and Information Technology, University of New South Wales at ADFA, Canberra, ACT, Australia; QUT Business School, Queensland University of Technology, Brisbane, QLD, Australia; Department of Information Systems and Cyber Security, The University of Texas at San Antonio, San Antonio, TX, USA; Faculty of Science and Technology, University of Canberra, Canberra, ACT, Australia","IEEE Access","8 Aug 2019","2019","7","","103619","103628","This paper presents a novel adversarial deep neural network to estimate human poses from still images, such as those obtained from CCTV and the Internet-of-Things (IoT) devices. Specifically, the proposed adversarial deep neural network exhibits the spatial hierarchy of human body parts considering the fact that predicting the position of some parts is more challenging than others. The generative and the discriminative portions of the proposed adversarial deep neural network are designed to encode the spatial relationship between the parts in the first stage of the hierarchy (parents) and the parts in the second stage of the hierarchy (children). Each of the generator and the discriminator networks is designed as two components, which are sequentially connected together to infer rich appearance potentials and to encode not only the likelihood of the part's existence but also the relationships between each body part and its parent. The method is evaluated on three different datasets, whose findings suggest that the proposed network achieves comparable results with other competing state-of-the-art approaches.","2169-3536","","10.1109/ACCESS.2019.2931050","Australian Research Council(grant numbers:LP160100910); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8772037","Human pose estimation;hierarchical-aware loss;generative adversarial network;convolutional neural network","Pose estimation;Generators;Neural networks;Generative adversarial networks;Australia;Internet of Things;Benchmark testing","learning (artificial intelligence);neural nets;pose estimation","hierarchical adversarial network;human pose estimation;Internet-of-Things devices;spatial hierarchy;human body parts;discriminator networks;adversarial deep neural network","","2","","44","CCBY","25 Jul 2019","","","IEEE","IEEE Journals"
